ig_media_id,username,timestamp,like_count,comments_count,caption,media_product_type,media_type,permalink,timestamp_retrieved
18048563089454274,mchernus,2023-07-12T04:54:30+0000,855,19,10 years ago today OITNB premiered on Netflix. And it forever changed the television landscape.  Thank you for letting me be a small part of your story. Orange family forever. #OITNB #orangeisthenewblack  #Netflix #netflixandchill,FEED,IMAGE,https://www.instagram.com/p/CulaqgOOqnq/,2025-01-18T15:26:05+0000
18027627496513385,mchernus,2023-05-14T15:46:31+0000,1101,27,"Happy 1st Mother’s Day to emsimmy and 45th Mother’s Day to nannychernus!!! I love you both very much. I wouldn’t be here and couldn’t do it without both of you.

And special special thanks to annawoodyall and danedehaan for the badass monogrammed robe for June!!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CsOqYYsugu6/,2025-01-18T15:26:05+0000
17904054056775889,mchernus,2023-05-05T16:47:04+0000,597,31,"MOLLI AND MAX IN THE FUTRE was the Opening Night Film last night at the Lower East Side Film Festival. We played to a sold out crowd at the beautiful, historic Village East Cinema (it was originally part of the former Yiddish Theatre District) which has a stunning interior with an unbelievably beautiful ceiling in the main theater.

The film is masterfully directed by the hugely talented michaellitwak with heartbreaking performances by our incredible lead actors zosiamamet and air_stotle 

This was my first night out on the town since Baby June was born (exactly 4 weeks prior to last night’s screening). Huge thanks to emsimmy and aprilpostpartum for helping facilitate Daddy taking the train down to the big city and being away from the nest for a night. Very grateful. It felt crazy and exhilarating and terrifying to be away from home and our little cocoon. 

And thanks to creemmag for my Lester Bangs t-shirt which I rocked proudly on the carpet. Thought of Lester all night, imagining him wandering the streets of Gotham and blaring “Let It Blurt” at cbgbofficial (and other East Village haunts) when they would let him up on stage.

Support indie films. Support small festivals that care about indie films like lesfilmfestival and others like it. Support artists and their weird beautiful brains. Most importantly support our writers and directors at every level. Without them we have no stories to tell or new worlds to explore. End of Ted Talk. Thank you.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Cr3mKANOfOV/,2025-01-18T15:26:05+0000
17889195110767945,mchernus,2023-05-02T13:12:45+0000,217,2,NA,FEED,IMAGE,https://www.instagram.com/p/CrvfPw0OGHd/,2025-01-18T15:26:05+0000
18003466489730134,mchernus,2023-04-20T14:13:29+0000,617,31,"Dead Ringers. Tomorrow. 4/21.

All episodes available.

deadringers on primevideo",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CrQsqBaOaua/,2025-01-18T15:26:05+0000
17999623705694295,mchernus,2023-04-16T16:29:36+0000,1961,292,"June Louise Chernus
Born 4/6/23

She arrived with the full Pink Moon, a few days after her due date, fashionably late like any good New Yorker knows to do.

She holds our hearts in the palm of her hand.

We love her so.

Emily labored heroically and endured more than I ever could have. She summoned ancient reserves of power and strength and wisdom. I stand in awe, humbled and grateful.

Murray has been a patient, watchful, compassionate, and concerned big brother. 10/10 good boy.

We are a happy family.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CrGpDhOO6Aw/,2025-01-18T15:26:05+0000
18009742603588254,mchernus,2023-03-30T14:20:13+0000,424,15,Tom & Elliot #DeadRingers,FEED,IMAGE,https://www.instagram.com/p/Cqaou8vuQPf/,2025-01-18T15:26:05+0000
17949142547436476,mchernus,2023-03-29T21:56:41+0000,192,10,"DEAD RINGERS TRAILER
Stream 4/21 primevideo",REELS,VIDEO,https://www.instagram.com/reel/CqY1roNPDkl/,2025-01-18T15:26:05+0000
18213597349175446,mchernus,2023-03-01T22:19:44+0000,293,24,"🩸💉🩸
04/21/23",FEED,IMAGE,https://www.instagram.com/p/CpQ0jt-Oxr7/,2025-01-18T15:26:05+0000
18034252093448087,mchernus,2023-02-28T18:59:15+0000,375,10,Ensemble,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CpN40Z6uKfU/,2025-01-18T15:26:05+0000
17946636212583179,mchernus,2023-02-28T03:35:30+0000,1212,91,"Oh what a night! Had an amazing time celebrating at the sagawards with my ride-or-die bestie patchdarragh by my side.

The cast of SEVERANCE was nominated for Best Ensemble in a Drama Series and it was an incredible honor to be recognized by our peers in sagaftra. I love actors so much and got to see so many of my faves last night including some dear old friends.

Profound gratitude, as always, to my stylist the_jorgemorales who makes me feel handsome and fancy (even though I usually wear flannels and gratefuldead t-shirts at home).
Deepest thanks to beautybycrystal for her grooming skills, making my face and hair look good.
And big appreciation and love to ralphlauren for the tuxedo, davidyurman for the bracelet, and omega for the watch. Also shirt by boss and bow tie by paulsmithdesign",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CpMPGqSuNlx/,2025-01-18T15:26:07+0000
17975299589010607,mchernus,2023-02-13T19:41:53+0000,343,34,"HAPPY BIRTHDAY, EMILY!!!!",FEED,IMAGE,https://www.instagram.com/p/ConVxk3PqSR/,2025-01-18T15:26:07+0000
17880116531800039,mchernus,2023-02-05T04:42:16+0000,820,80,"Once a Tavner, always a Tavner.",FEED,IMAGE,https://www.instagram.com/p/CoRIdjMu7Ao/,2025-01-18T15:26:07+0000
17898615875673098,mchernus,2023-02-02T01:02:54+0000,462,21,"Molli & Max in the Future will be premiering at SXSW in the Visions screening section!!!! 

""Visions filmmakers are audacious, risk-taking artists in the new cinema landscape who demonstrate raw innovation and creativity in documentary and narrative filmmaking.""

#molliandmax
.
.
.
Starring zosiamamet air_stotle  Gkuhlenschmidt aparnapkin arturocastrop oaksmash palomagarcialee emdarkey matteolane dannybur and mchernus 

Writer/Director: michaellitwak
Produced by ckuwahara benjamin_murphy whiskeybearprods tedgeoghegan malloryaschwartz ivylam22 kategellercasting 
Casting by kategellercasting 
DP: notzachs 
PD: violetoven 
1st AD: morganingari 
Gaffer: jessemoritz 
Costumes: hannahkittellmatsuo 
1st AC: darlenachiem 
Lead HMU: splatapus 
HMU: samson_smith 
Editor: jnaugz 
Color: crushcolors_ 
DIT/AE: jontruei 
Sound: Nick Hepding
Music by winky_pants
Design/Mix by Baritobobb
Poster Art by marianomattosart 
Shot at family choreografx with LED walls + virtual production by stevewithav and sebastianclore. Rear screen projection + green screen at devergestudio.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CoJA-MputGa/,2025-01-18T15:26:07+0000
17897882393672613,mchernus,2023-01-20T02:14:18+0000,401,18,"Rest In Peace, Croz. Glad you didn’t cut your hair all those years ago. 

Thanks to my man cameronbcrowe for facilitating this incredible moment in my life.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Cnnqz2HO0dS/,2025-01-18T15:26:07+0000
18001032412592944,mchernus,2023-01-16T20:54:55+0000,714,44,"Thank you criticschoice for a fantastic evening! Got to see many old friends and a few new ones, too. 
As always, huge thanks to the_jorgemorales for styling me. Lots of love to richardjamesofficial for the gorgeous tuxedo. And, of course I gotta give heaps of gratitude to the wonderful simonegrooming for making my face and hairs look pretty. 
There’s no biznass like show biznass, folks!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CnfX39FyVPl/,2025-01-18T15:26:07+0000
18200901355215061,mchernus,2023-01-11T19:25:52+0000,759,59,"Thank you sagawards for the ensemble nomination! Congratulations to mradamscott on his lead actor in a drama series nomination, as well. Also, benstiller and aoifemmcardle were both nominated for directorsguild awards! Huzzah. Woo Hoo. Cheers and congrats all around.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CnSVtXIvOHn/,2025-01-18T15:26:07+0000
18321468904064852,mchernus,2022-11-29T18:01:33+0000,757,52,"Had a blast last night at the 2022 Gotham Awards. SEVERANCE was nominated for Best Breakthrough Series (Long Format). And our very own Helly R (brittle) was nominated for Outstanding Performance in a New Series. Huge thanks, as always, to the_jorgemorales for styling me and making me feel fancy and handsome. Very grateful to ralphlauren for the beautiful clothes. And big big shoutout to lisaraquel for the grooming and hair styling. It’s no joke trying to tame my Leo mane. #Severance appletvplus gothamawards",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Cljd4P6Odb7/,2025-01-18T15:26:07+0000
17844550769857424,mchernus,2022-10-04T00:30:57+0000,681,29,Me & Sgt McFluffyPants,FEED,IMAGE,https://www.instagram.com/p/CjRZIZvu2Jb/,2025-01-18T15:26:07+0000
17968710937873700,mchernus,2022-09-29T18:41:55+0000,151,6,"Very proud of this show and all of the amazing talent involved. Season 2 of #LittleAmerica premieres December 9 on AppleTVPlus 

Inspired by the true stories featured in Vox Media Studios’ Epic Magazine, Apple TV+’s Little America is a BAFTA, Independent Spirit, NAACP Image and GLAAD Media Award-nominated series that goes beyond the headlines to look at the funny, romantic, heartfelt, inspiring and surprising stories of immigrants in America, when they’re more relevant now than ever.

Hailing from executive producers Emmy nominee Lee Eisenberg, Academy Award nominees Kumail Nanjiani and Emily V. Gordon, Academy Award winner Siân Heder, Emmy Award winner Alan Yang and Epic Magazine, the second season of the series will explore eight incredible stories inspired by real people from around the world, including a Belizian woman (Stacy Rose) who works for a Hasidic family in New York, a Korean man (Ki Hong Lee) who makes hats for the Black church community in 1980s Detroit, and the story of a 40-something Japanese woman in Columbus, Ohio (Shiori Ideta)  whose dream is to assemble an all-women’s baseball league to fulfill her lifelong passion for the sport.

The complete second season will premiere with eight new installments on Friday, December 9.",FEED,IMAGE,https://www.instagram.com/p/CjGeAfvuBko/,2025-01-18T15:26:07+0000
17975946856703206,mchernus,2022-09-27T02:18:58+0000,159,11,"My maternal grandfather, William Woodruff Rowe, would’ve turned 100 today. Its always been very meaningful and important to me that Emily and I were married on his birthday. It felt like he was somehow with us on that day. And it means that now every year on our anniversary I get to think of him. Happy Birthday, Grandpa Rowe. We miss you lots, Pa.",FEED,IMAGE,https://www.instagram.com/p/Ci_j7b7Oekg/,2025-01-18T15:26:07+0000
18317547856016694,mchernus,2022-09-26T21:44:08+0000,307,7,"More snaps of the day, seven years ago. 

📸: meredithheuerphotog",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Ci_EeeLuSAG/,2025-01-18T15:26:07+0000
17941948475187569,mchernus,2022-09-26T21:16:01+0000,606,33,"Best. Party. Ever. 
7 years ago today.
#WeddingAtRyder",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Ci_BQhEOF1F/,2025-01-18T15:26:07+0000
17975492794706178,mchernus,2022-09-24T16:38:49+0000,124,2,Mood,FEED,IMAGE,https://www.instagram.com/p/Ci5X8e7Okts/,2025-01-18T15:26:07+0000
17905378388642404,mchernus,2022-09-13T18:12:11+0000,1008,93,"Had a blast yesterday at the 74th Annual Emmy Awards! Got to hang with my incredible #Severance family. And even though we didn’t take home any trophies last night, we left feeling like big winners anyway. Getting to work on this show with benstiller instadan360 and a veritable murder’s row of actors is a dream come true. 14 nominations for our freshman season, including Best Drama?!? C’mon now! 

It takes a village to pull a night like this off. So, I want to give a very special thanks to my glam squad who made me feel snazzy and chic and slick and cool.

Styling by the_jorgemorales 
Suit: ralphlauren 
Cuff links: davidyurman 
Bow tie: etonshirts 
Hair & Makeup: beautybycrystal

As always, huge love & gratitude for my manager jillllindsay and my agent nancygates18 and everyone at authenticmgmt & unitedtalent 🙏

Also also, I clearly like pointing in pictures 👈👉",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CidN4rFPn3c/,2025-01-18T15:26:07+0000
