name_clean,id,label,description
Lucian Blaga,Q381256,Lucian Blaga,Romanian writer
Garoafei,NA,NA,NA
Theodor Neculuță,Q18544290,NA,NA
Grădinilor,NA,NA,NA
Viile Sibiului,NA,NA,NA
Gârlei,NA,NA,NA
Mihail Kogălniceanu,Q319759,Mihail Kogălniceanu,"Moldavian-born Romanian liberal statesman, lawyer, historian and publicist (1817-1891)"
Lemnelor,NA,NA,NA
Pedagogilor,NA,NA,NA
Tudor Vladimirescu,Q359108,Tudor Vladimirescu,Romanian politician (1780-1821)
Praga,NA,NA,NA
Gladiolelor,NA,NA,NA
Rozmarinului,NA,NA,NA
Măgheranului,NA,NA,NA
Buia,NA,NA,NA
George Coșbuc,Q473257,George Coșbuc,"Romanian poet, translator, teacher and journalist (1866-1918)"
Constantin I. Nottara,Q18544427,Constantin I. Nottara,Romanian actor
Cameliei,NA,NA,NA
Margaretelor,NA,NA,NA
Înfrățirii,NA,NA,NA
Pandurilor,NA,NA,NA
Speranței,NA,NA,NA
Patrioților,NA,NA,NA
Carpaților,NA,NA,NA
Progresului,NA,NA,NA
Deva,Q3424313,Deva,Indian film composer and singer
Honterus,NA,NA,NA
Timișoara,NA,NA,NA
Lăcrămioarelor,NA,NA,NA
Păltiniș,NA,NA,NA
Castorului,NA,NA,NA
Democrației,NA,NA,NA
Eschile,NA,NA,NA
Viorelelor,NA,NA,NA
Traian Demetrescu,Q7832690,Traian Demetrescu,Romanian writer
Arad,NA,NA,NA
Cuptorului,NA,NA,NA
Doinei,NA,NA,NA
Maierilor,NA,NA,NA
Constructorilor,NA,NA,NA
General Grigore Bălan,Q5609023,NA,NA
Pânzarilor,NA,NA,NA
Dreptății,NA,NA,NA
Ion Pop Reteganu,Q12730934,Ion Pop-Reteganul,Romanian writer
Narciselor,NA,NA,NA
Sapunarilor,NA,NA,NA
Distribuției,NA,NA,NA
Darstelor,NA,NA,NA
Victor Tordășianu,NA,NA,NA
Gheorghe Șincai,Q774046,Gheorghe Șincai,Romanian poet and historian
Berzelor,NA,NA,NA
Petru Maior,Q897482,Petru Maior,Romanian writer
Principatele Unite,NA,NA,NA
Luceafărului,NA,NA,NA
Lazaret,NA,NA,NA
Nicovalei,NA,NA,NA
Macaralei,NA,NA,NA
Viitorului,NA,NA,NA
Sandu Aldea,NA,NA,NA
Ciorcârliei,NA,NA,NA
Mureșului,NA,NA,NA
Lebedei,NA,NA,NA
Anina,NA,NA,NA
Emil Zola,Q504,Émile Zola,French writer
Primăverii,NA,NA,NA
Cezar Bolliac,Q5065837,Cezar Bolliac,Romanian writer and scholar
Alecu Russo,Q2442975,Alecu Russo,"Moldavian Romanian writer, literary critic and publicist (1819-1859)"
Arcului,NA,NA,NA
Reșița,NA,NA,NA
Anatole France,Q42443,Anatole France,French writer
Armoniei,NA,NA,NA
Mașiniștilor,NA,NA,NA
Traian,Q1425,Trajan,Roman emperor from 98 to 117 (53-117)
Porumbeilor,NA,NA,NA
Zorilor,NA,NA,NA
Heinrich Heine,Q44403,Heinrich Heine,"German poet, journalist, essayist, and literary critic"
Libertății,NA,NA,NA
Oltului,NA,NA,NA
Rulmentului,NA,NA,NA
Rândunelelor,NA,NA,NA
Plevna,NA,NA,NA
Turgheniev,Q42831,Ivan Turgenev,Russian writer
Petrila,NA,NA,NA
Crinilor,NA,NA,NA
Doctor Corneliu Diaconovici,NA,NA,NA
Petru Poni,Q12737913,Petru Poni,Romanian chemist
August Treboniu Laurian,Q2870948,August Treboniu Laurian,Romanian politician and academic
Iuliu Maniu,Q462164,Iuliu Maniu,Romanian politician (1873-1953)
Egalității,NA,NA,NA
Decebal,Q28928,Decebalus,king of Dacia
Balanței,NA,NA,NA
Frezorilor,NA,NA,NA
Laminorului,NA,NA,NA
Moreni,NA,NA,NA
Octavian Smighelschi,Q12737072,NA,NA
Wolfgang Amadeus Mozart,Q254,Wolfgang Amadeus Mozart,Austrian composer of the Classical period
Muncii,NA,NA,NA
Strungului,NA,NA,NA
Teliuc,NA,NA,NA
Ecaterina Varga,Q580935,Katalin Varga,Hungarian noblewoman and leader of a Transylvanian miners' movement
Vânătorilor,NA,NA,NA
Prometeu,NA,NA,NA
Ovidiu,Q57026130,Ovidiu Ersen,Romanian/French physicist
Horia,NA,NA,NA
Bihorului,NA,NA,NA
Nicolae Filimon,Q7029251,Nicolae Filimon,Romanian writer
Ilarie Chendi,Q1096344,Ilarie Chendi,Romanian literary critic
Jina,NA,NA,NA
Pincio Ioan Păun,Q12730939,NA,NA
Grigore Ureche,Q592030,Grigore Ureche,Moldavian chronicler
Moldovei,NA,NA,NA
Costache Negri,Q2217512,Costache Negri,Romanian politician and writer
Turnu Roșu,NA,NA,NA
Doctor Barcianu,Q964809,NA,NA
Cloșca,Q12730917,Ion Oargă Cloșca,NA
Dobrogei,NA,NA,NA
Panait Cerna,Q3657061,Panait Cerna,Romanian writer and academic
Grigore Alexandrescu,Q937570,Grigore Alexandrescu,poet
Oașului,NA,NA,NA
Aron Pumnul,Q717751,Aron Pumnul,"Romanian academic,revolutionary ,linguist, philologist and literary historian."
Gorăslău,NA,NA,NA
Miron Costin,Q2604582,Miron Costin,Moldavian chronicler
Profesor Ioan Moga,NA,NA,NA
Anghel Salihny,NA,NA,NA
Alămor,NA,NA,NA
Putnei,NA,NA,NA
Anton Pann,Q592355,Anton Pann,Wallachian composer & musicologist
Vasile Alecsandri,Q352004,Vasile Alecsandri,"Romanian poet, playwright, politician, and diplomat (1821-1890)"
Marius Sturza,Q12735074,Marius Sturza,NA
Dimitrie Anghel,Q905508,Dimitrie Anghel,Romanian poet
Dinicu Golescu,Q731706,Dinicu Golescu,Romanian writer (1777-1830)
Lămâiței,NA,NA,NA
Mihail Sebastian,Q698444,Mihail Sebastian,Romanian writer
J.W. Goethe,Q5879,NA,NA
Argeșului,NA,NA,NA
Sălajului,NA,NA,NA
Alexandru Vlahuță,Q648598,Alexandru Vlahuță,Romanian writer
Ciprian Porumbescu,Q389000,Ciprian Porumbescu,Romanian composer
Fântânii,NA,NA,NA
Galeș,Q92329840,Gales,Ancient attic-greek potter
Luarea Bastiliei,NA,NA,NA
Martin Hochmaister,Q1165946,NA,NA
Mihai Eminescu,Q184935,Mihai Eminescu,"Romanian poet, novelist and journalist (1850-1889)"
Andrei Mureșanu,Q502292,Andrei Mureșanu,Romanian writer (1816-1863)
Porumbacului,NA,NA,NA
Eroilor,NA,NA,NA
Radu Stanca,Q7281729,Radu Stanca,"Romanian poet, playwright, theatre director, theatre critic and theoretician"
Cernei,NA,NA,NA
Dobrun,NA,NA,NA
Infanteristilor,NA,NA,NA
Roșiorilor,NA,NA,NA
Iezer,NA,NA,NA
G. M. Zamfirescu,Q1264222,NA,NA
Dragoș Vodă,Q654356,"Dragoș, Voivode of Moldavia","Founder and Voivode of Moldavia, Knyaz in Maramureș"
Bungardului,NA,NA,NA
Lirei,NA,NA,NA
Ioan Budai Deleanu,Q840643,Ioan Budai-Deleanu,"Romanian philologist, historian and writer"
Profesor Petru Șpan,NA,NA,NA
Micu Klein,Q942644,NA,NA
George Enescu,Q77177,George Enescu,Romanian composer
Călțun,NA,NA,NA
Diaconul Coressi,NA,NA,NA
George Topârceanu,Q927459,George Topîrceanu,Romanian writer
Ghiocelului,NA,NA,NA
Cindrel,Q317017,James J. Braddock,American boxer (1905-1974)
Cărbunelui,NA,NA,NA
Iancu de Hunedoara,Q242688,John Hunyadi,"Regent-Governor of the Kingdom of Hungary, 1446–1453"
James Watt,Q9041,James Watt,British engineer (1736–1819)
Urlea,NA,NA,NA
Aviației,NA,NA,NA
Liliacului,NA,NA,NA
Vârtopu,NA,NA,NA
Aciliu,NA,NA,NA
Prejbei,NA,NA,NA
Badea Cârțan,Q445032,Badea Cârțan,Romanian hero
Rozdești,NA,NA,NA
Trandafirului,NA,NA,NA
Spartacus,Q83406,Spartacus,Thracian gladiator who led a slave uprising against the Roman Republic
Stăvilarului,NA,NA,NA
Timotei Cipariu,Q897286,Timotei Cipariu,Romanian academic (1805-1887)
D.D. Roșca,Q896474,NA,NA
Combinei,NA,NA,NA
Iazul Morii,NA,NA,NA
Ion Sion,NA,NA,NA
Lector,NA,NA,NA
Ștefan Luchian,Q397123,Ștefan Luchian,Romanian painter (1868-1916)
Luncii,NA,NA,NA
Mălinului,NA,NA,NA
Macazului,NA,NA,NA
Rovine,NA,NA,NA
Smârdan,NA,NA,NA
Pinului,NA,NA,NA
Muncitorilor,NA,NA,NA
Oltețului,NA,NA,NA
Vasile Pârvan,Q2534833,Vasile Pârvan,"Romanian historian, archaeologist"
Anul 1848,NA,NA,NA
Flacăra,NA,NA,NA
Stejarului,NA,NA,NA
Haiducului,NA,NA,NA
Charles Darwin,Q1035,Charles Darwin,"British naturalist, author of ""On the origin of species, by means of natural selection"" (1809-1882)"
Alpinismului,NA,NA,NA
Crint,NA,NA,NA
Dobârca,NA,NA,NA
Cooperatorilor,NA,NA,NA
Semănătoarelor,NA,NA,NA
Ovăzului,NA,NA,NA
Axente Sever,Q3801304,Ioan Axente Sever,Romanian theologian
Podragu,NA,NA,NA
Pescarilor,NA,NA,NA
Depoului,NA,NA,NA
Galileo Galilei,Q307,Galileo Galilei,"Italian mathematician, physicist, philosopher and astronomer"
Gheorghe Țițeica,Q10564973,Gheorghe Țițeica,Romanian mathematician
Ion Creangă,Q204810,Ion Creangă,"Moldavian - born Romanian writer, raconteur and schoolteacher"
Suru,NA,NA,NA
